"Year","Origin","Gender","Emigration"
"2000","Brunei Darussalam","Male",4802
"2005","Brunei Darussalam","Male",5417
"2010","Brunei Darussalam","Male",5826
"2015","Brunei Darussalam","Male",6337
"2020","Brunei Darussalam","Male",6973
"2000","Brunei Darussalam","Female",5034
"2005","Brunei Darussalam","Female",5706
"2010","Brunei Darussalam","Female",5877
"2015","Brunei Darussalam","Female",6598
"2020","Brunei Darussalam","Female",7379
"2000","Cambodia","Male",130385
"2005","Cambodia","Male",131817
"2010","Cambodia","Male",144166
"2015","Cambodia","Male",172404
"2020","Cambodia","Male",172110
"2000","Cambodia","Female",141311
"2005","Cambodia","Female",144853
"2010","Cambodia","Female",161633
"2015","Cambodia","Female",196201
"2020","Cambodia","Female",200224
"2000","Indonesia","Male",837979
"2005","Indonesia","Male",919938
"2010","Indonesia","Male",1185838
"2015","Indonesia","Male",1408645
"2020","Indonesia","Male",1671662
"2000","Indonesia","Female",681412
"2005","Indonesia","Female",796804
"2010","Indonesia","Female",1028723
"2015","Indonesia","Female",1233741
"2020","Indonesia","Female",1430475
"2000","Lao People's Democratic Republic","Male",147796
"2005","Lao People's Democratic Republic","Male",140181
"2010","Lao People's Democratic Republic","Male",138993
"2015","Lao People's Democratic Republic","Male",144188
"2020","Lao People's Democratic Republic","Male",126177
"2000","Lao People's Democratic Republic","Female",145081
"2005","Lao People's Democratic Republic","Female",136639
"2010","Lao People's Democratic Republic","Female",139351
"2015","Lao People's Democratic Republic","Female",147331
"2020","Lao People's Democratic Republic","Female",132800
"2000","Malaysia","Male",437804
"2005","Malaysia","Male",510281
"2010","Malaysia","Male",607170
"2015","Malaysia","Male",684394
"2020","Malaysia","Male",720349
"2000","Malaysia","Female",571150
"2005","Malaysia","Female",643822
"2010","Malaysia","Female",748164
"2015","Malaysia","Female",854178
"2020","Malaysia","Female",899479
"2000","Myanmar","Male",101878
"2005","Myanmar","Male",132885
"2010","Myanmar","Male",181372
"2015","Myanmar","Male",258966
"2020","Myanmar","Male",315295
"2000","Myanmar","Female",66074
"2005","Myanmar","Female",82784
"2010","Myanmar","Female",110455
"2015","Myanmar","Female",175723
"2020","Myanmar","Female",214343
"2000","Philippines","Male",1195593
"2005","Philippines","Male",1532912
"2010","Philippines","Male",2092083
"2015","Philippines","Male",2444726
"2020","Philippines","Male",2708158
"2000","Philippines","Female",1644848
"2005","Philippines","Female",2003404
"2010","Philippines","Female",2489374
"2015","Philippines","Female",2863047
"2020","Philippines","Female",3181603
"2000","Singapore","Male",59841
"2005","Singapore","Male",66111
"2010","Singapore","Male",74713
"2015","Singapore","Male",85510
"2020","Singapore","Male",92137
"2000","Singapore","Female",70183
"2005","Singapore","Female",79192
"2010","Singapore","Female",91443
"2015","Singapore","Female",104550
"2020","Singapore","Female",115429
"2000","Thailand","Male",139160
"2005","Thailand","Male",174494
"2010","Thailand","Male",222468
"2015","Thailand","Male",286073
"2020","Thailand","Male",359593
"2000","Thailand","Female",269263
"2005","Thailand","Female",348540
"2010","Thailand","Female",434835
"2015","Thailand","Female",523251
"2020","Thailand","Female",608091
"2000","Timor-Leste","Male",2625
"2005","Timor-Leste","Male",7715
"2010","Timor-Leste","Male",7500
"2015","Timor-Leste","Male",7610
"2020","Timor-Leste","Male",8182
"2000","Timor-Leste","Female",1952
"2005","Timor-Leste","Female",7178
"2010","Timor-Leste","Female",6994
"2015","Timor-Leste","Female",6983
"2020","Timor-Leste","Female",7507
"2000","Viet Nam","Male",842757
"2005","Viet Nam","Male",949568
"2010","Viet Nam","Male",1066149
"2015","Viet Nam","Male",1152802
"2020","Viet Nam","Male",1372953
"2000","Viet Nam","Female",816060
"2005","Viet Nam","Female",925517
"2010","Viet Nam","Female",1067289
"2015","Viet Nam","Female",1239492
"2020","Viet Nam","Female",1489835
