"Origin","1990","1995","2000","2005","2010","2015","2020"
"South-Eastern Asia",5599207,6888567,8312988,9745758,12010416,14002750,15840754
"Brunei Darussalam",6624,8192,9836,11123,11703,12935,14352
"Cambodia",237526,254037,271696,276670,305799,368605,372334
"Indonesia",1263495,1379025,1519391,1716742,2214561,2642386,3102137
"Lao People's Democratic Republic",252193,272658,292877,276820,278344,291519,258977
"Malaysia",433387,701922,1008954,1154103,1355334,1538572,1619828
"Myanmar",133938,155844,167952,215669,291827,434689,529638
"Philippines",1881907,2323919,2840441,3536316,4581457,5307773,5889761
"Singapore",98628,112625,130024,145303,166156,190060,207566
"Thailand",234663,319382,408423,523034,657303,809324,967684
"Timor-Leste",10514,7649,4577,14893,14494,14593,15689
"Viet Nam",1046332,1353314,1658817,1875085,2133438,2392294,2862788
